age,sex,profession,income
31.0,female,unemployed,46923.0
42.0,female,unemployed,46351.0
,,unemployed,46667.0
26.0,female,worker,92381.0
35.0,female,worker,91667.0
26.0,female,unemployed,47381.0
29.0,female,unemployed,47083.0
33.0,female,homewife,51786.0
,,worker,91471.0
32.0,female,homewife,51852.0
42.0,female,worker,91351.0
36.0,female,worker,91613.0
35.0,female,worker,91667.0
38.0,female,worker,91515.0
33.0,female,unemployed,46786.0
,,homewife,51515.0
29.0,female,worker,92083.0
29.0,female,homewife,52083.0
,,worker,92083.0
44.0,female,homewife,51282.0
30.0,female,homewife,52000.0
36.0,female,worker,91613.0
33.0,female,homewife,51786.0
37.0,female,unemployed,46562.0
30.0,female,homewife,52000.0
35.0,female,homewife,51667.0
33.0,female,homewife,51786.0
38.0,female,worker,91515.0
,,unemployed,46220.0
24.0,female,homewife,52632.0
40.0,female,worker,91429.0
42.0,female,worker,91351.0
42.0,female,unemployed,46351.0
37.0,female,unemployed,46562.0
31.0,female,homewife,51923.0
38.0,female,unemployed,46515.0
33.0,female,worker,91786.0
39.0,female,homewife,51471.0
32.0,female,worker,91852.0
32.0,female,homewife,51852.0
39.0,female,unemployed,46471.0
41.0,female,homewife,51389.0
37.0,female,homewife,51562.0
38.0,female,homewife,51515.0
32.0,female,worker,91852.0
38.0,female,homewife,51515.0
30.0,female,worker,92000.0
31.0,female,worker,91923.0
33.0,female,homewife,51786.0
32.0,female,homewife,51852.0
31.0,female,worker,91923.0
41.0,female,worker,91389.0
28.0,female,worker,92174.0
35.0,female,homewife,51667.0
34.0,female,unemployed,46724.0
33.0,female,homewife,51786.0
36.0,female,homewife,51613.0
39.0,female,homewife,51471.0
27.0,female,worker,92273.0
39.0,female,homewife,51471.0
38.0,female,unemployed,46515.0
35.0,female,unemployed,46667.0
43.0,female,homewife,51316.0
28.0,female,worker,92174.0
29.0,female,worker,92083.0
36.0,female,homewife,51613.0
38.0,female,worker,91515.0
34.0,female,homewife,51724.0
33.0,female,homewife,51786.0
28.0,female,worker,92174.0
35.0,female,homewife,51667.0
41.0,female,worker,91389.0
31.0,female,homewife,51923.0
30.0,female,worker,92000.0
36.0,female,homewife,51613.0
38.0,female,unemployed,46515.0
39.0,female,unemployed,46471.0
33.0,female,worker,91786.0
,,homewife,51562.0
38.0,female,homewife,51515.0
27.0,female,homewife,52273.0
,,homewife,51515.0
27.0,female,homewife,52273.0
39.0,female,homewife,51471.0
37.0,female,homewife,51562.0
36.0,female,worker,91613.0
31.0,female,homewife,51923.0
34.0,female,homewife,51724.0
36.0,female,homewife,51613.0
40.0,female,homewife,51429.0
28.0,female,homewife,52174.0
36.0,female,homewife,51613.0
36.0,female,unemployed,46613.0
27.0,female,homewife,52273.0
33.0,female,homewife,51786.0
26.0,female,homewife,52381.0
33.0,female,homewife,51786.0
31.0,female,homewife,51923.0
30.0,female,worker,92000.0
33.0,female,unemployed,46786.0
38.0,female,homewife,51515.0
35.0,female,unemployed,46667.0
40.0,female,homewife,51429.0
39.0,female,worker,91471.0
40.0,female,homewife,51429.0
30.0,female,worker,92000.0
28.0,female,unemployed,47174.0
34.0,female,unemployed,46724.0
36.0,female,homewife,51613.0
30.0,female,worker,92000.0
29.0,female,worker,92083.0
42.0,female,homewife,51351.0
